NOME,CAMPUS,CNPJ,CODIGO_MEC,CODIGO_REGIONAL,CATEGORIA
18625 - FACULDADE ANHANGUERA DE VITÓRIA DA CONQUISTA,VITÓRIA DA CONQUISTA,38733648004307,18625,,PRIVADA
1643 - FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA - FAT,FEIRA DE SANTANA,01149432000121,1643,,PRIVADA
1410 - FACULDADE ÁREA 1 WYDEN - ÁREA 1 wyden,SALVADOR,03681572000171,1410,,PRIVADA
2560 - FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA - FAESF/UNEF,FEIRA DE SANTANA,03401083000119,2560,,PRIVADA
1645 - FACULDADE DE EXCELÊNCIA UNEX DE JEQUIÉ - UNEX JEQUIÉ,JEQUIÉ,04670333000189,1645,,PRIVADA
12922 - FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA,ALAGOINHAS,02268349000134,12922,,PRIVADA
1645 - FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ - FTC JEQUIÉ,JEQUIÉ,04670333000189,1645,,PRIVADA
3669 - FACULDADE DOM LUIZ DE ORLEANS E BRAGANÇA,RIBEIRA DO POMBAL,09652671000101,3669,,PRIVADA
1790 - FACULDADE DO SUL DA BAHIA - FASB,TEIXEIRA DE FREITAS,03760257000130,1790,,PRIVADA
2944 - FACULDADE DO SUL - FACSUL,ITABUNA,14793478001526,2944,,PRIVADA
0 - FACULDADE HÉLIO ROCHA - FHR,SALVADOR,03466601000182,0,,PRIVADA
500042900 - FACULDADE INDEPENDENTE DO NORDESTE - FAINOR,VITÓRIA DA CONQUISTA,03262477000133,500042900,,PRIVADA
500063559 - FACULDADE MADRE THAIS,ILHÉUS,05402067000176,500063559,,PRIVADA
3609 - FACULDADES INTEGRADAS IPITANGA - FACIIP,LAURO DE FREITAS,37506747000126,3609,,PRIVADA
2037 - FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS - UNIME - LAURO DE FREITAS,LAURO DE FREITAS,02959800000160,2037,,PRIVADA
1318 - FACULDADE UNINASSAU VITÓRIA DA CONQUISTA,VITÓRIA DA CONQUISTA - BA,63182539000129,1318,,PRIVADA
2085 -  INSTITUTO BAIANO DE ENSINO SUPERIOR - IBES,SALVADOR,06099229001264,2085,,PRIVADA
"599 - INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA - IFBA - SALVADOR",SALVADOR,10764307000627,599,,PÚBLICA
"9092 - INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA - VITÓRIA DA CONQUISTA",VITÓRIA DA CONQUISTA,10764307000465,9092,,PÚBLICA
INSTITUTO FRANCISCO DE ASSIS - TÉCNICO,IFA - Técnico,15013642000100,,,
0 - SENAI-CETIND -CENTRO DE TECNOLOGIA INDUSTRIAL PEDRO RIBEIRO,LAURO DE FREITAS,03795071000469,0,,PÚBLICA
SISTEMA DE ENSINO E CONSULTORIA EDUCACIONAL,ITABATÃ/MUCURI,08248468000292,,,PRIVADA
1055 -  UNINASSAU - CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,SALVADOR - PITUBA/MERCÊS,32697294000149,1055,,PRIVADA
UNIVERSIDADE ANHANGUERA - UNIDERP,JUAZEIRO,04310392000146,,,PRIVADA
519 - UNIVERSIDADE CATÓLICA DO SALVADOR - UCSAL,SALVADOR,15208341000124,519,,PRIVADA
666 - UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA - UEFS,FEIRA DE SANTANA,14045546000173,666,,PÚBLICA
24 - UNIVERSIDADE ESTADUAL DE SANTA CRUZ - UESC,ILHEUS,40738999000195,24,,PÚBLICA
578 - UNIVERSIDADE FEDERAL DA BAHIA - UFBA,SALVADOR,15180714000104,578,,PÚBLICA
500041652 - UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,BOM JESUS DA LAPA,18641263000145,500041652,,PÚBLICA
4503 - UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA - UFRB,CRUZ DAS ALMAS,07777800000162,4503,,PÚBLICA
4503 - UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA - UFRB,FEIRA DE SANTANA,07777800000162,4503,,PÚBLICA
1800057350 - UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,JUAZEIRO,14659478000132,1800057350,,PÚBLICA
UNIVERSIDADE SALGADO DE OLIVEIRA,SALVADOR,28638393001901,,,PRIVADA
500052204 - UNIVERSIDADE SALVADOR-UNIFACS- FEIRA DE SANTANA,FEIRA DE SANTANA - Campus: Santa Mônica,13526884000164,500052204,,PRIVADA
385 - UNIVERSIDADE SALVADOR - UNIFACS - SALVADOR,SALVADOR,13526884000164,385,,PRIVADA
