CREA-BA - Conselho Regional de Engenharia e Agronomia da Bahia,,,,,
SITAC - Sistema de Informações Técnicas e Administrativas do CREA-BA,,,,,
,,,,,
Relatório Gerencial:,RELATÓRIO GENÉRICO,,,,
Grupo:,RELATÓRIOS,,,,
Descrição:,,,,,
,,,,,
Data/Hora:,06/08/2025 às 16:08:18,,,,
Local:,SEDE - SALVADOR - CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA,,,,
,,,,,
NOME,CAMPUS,CNPJ,CÓDIGO MEC,CÓDIGO REGIONAL,TIPO DE CATEGORIA ACADÊMICA
CENTRO EDUCACIONAL CINECISTA DE PRESIDENTE DUTRA,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO EDUCACIONAL DE CORRENTINA,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO EDUCACIONAL DE ITIRUCU,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO EDUCACIONAL DE PERIPERI,[TRANSFERIDO PARA OUTRO CONSELHO],00000000000000,,,
CENTRO EDUCACIONAL DE SENHOR DO BONFIM,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO EDUCACIONAL GOVERNADOR JOAO DURVAL CARNEIRO,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO EDUCACIONAL JOÃO DURVAL CARNEIRO,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
500004838 - Centro Educacional Joao Vilas Boas,[TRANSFERIDO PARA OUTRO CONSELHO],,500004838,,
CENTRO EDUCACIONAL LUIZ VIANA FILHO,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO EDUCACIONAL MAJOR JOSE MARTINS DE OLIVEIRA,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO EDUCACIONAL MIGUEL ALVES - CEMA,CAMAÇARI,73922718000109,,,PRIVADA
CENTRO EDUCACIONAL MINISTRO SPINOLA,[TRANSFERIDO PARA OUTRO CONSELHO],14606669000136,,,
1179 - CENTRO EDUCACIONAL PROFISSIONAL YSA,ALAGOINHAS,06175868000109,1179,,PRIVADA
CENTRO ESTAD. DE EDUC. PROF. EM GESTÃO E MEIO AMBIENTE,BRUMADO,13937065000100,,,PÚBLICA
20520 - CENTRO ESTADUAL DE EDUCAÇÃO PROF. DO CHOCOLATE NELSON SCHAUM,ILHÉUS,02001093000102,20520,,PÚBLICA
20519 - CENTRO ESTADUAL DE EDUCAÇÃO PROF. EM ALIMENTOS E REC. NATURAIS PIO XII,[TRANSFERIDO PARA OUTRO CONSELHO],02101867000169,20519,,PÚBLICA
CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ÁGUAS,[TRANSFERIDO PARA OUTRO CONSELHO],12875715000177,,,PÚBLICA
0 - Centro Estadual de Educação Profissional Aureo de Oliveira F,,,0,,
CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DA BAHIA,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
11561 - CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DA FLORESTA DO CACAU E DO CHOCOLATE MILTON SANTOS - CETEP FLORESTA,ARATACA,11356986000153,11561,,PÚBLICA
CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DO CAMPO PAULO FREIRE,[TRANSFERIDO PARA OUTRO CONSELHO],15339809000188,,,
CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DO SEMIARIDO,[TRANSFERIDO PARA OUTRO CONSELHO],13937065000100,,,
13692 - CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL EM BIOTECNOLOGIA E SAÚDE,ITABUNA,01933547000102,13692,,PÚBLICA
0 - CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL EM GESTÃO SEVERINO VIEIRA - CEEP SEVERINO VIEIRA,SALVADOR - NAZARÉ,04913367000157,0,,PÚBLICA
0 - CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL EM SAÚDE DO LESTE BAIANO,VALENÇA,,0,,PÚBLICA
500047367 - CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL EM SAUDE E GESTÃO,,02011346000110,500047367,,
"4213 - CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL EM SAÚDE, MEIO AMBIENTE E RECURSOS NATURAIS  DO CENTRO BAIANO JUBILINO CONENGUNDES",MORRO DO CHAPÉU - BA,03171841000150,4213,,PÚBLICA
"CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL EM TEC, INF. E COMUNICAÇÃO",[TRANSFERIDO PARA OUTRO CONSELHO],17298440000170,,,
1278 - CENTRO ESTADUAL DE EDUC. PROF. EM GESTÃO E TECN. DA INF. ÁLVARO MELO VIEIRA,ILHEUS,01948551000144,1278,,PÚBLICA
